vin,make,model,year,age,price,mileage,city,state,region,population,lat,lng
1FTFW1CT4EKF33100,Ford,F-1502WD,2014,6,28000,51982,New Port Richey,FL,South,16256,28.2468,-82.7169
1C4RJFBG9HC710381,Jeep,Grand,2017,3,35333,22925,Chesapeake,VA,South,240397,36.6778,-76.3024
1G1PF5SC8C7338347,Chevrolet,CruzeSedan,2012,8,5999,129400,Marietta,GA,South,61048,33.9532,-84.5422
SALCR2BG8HH652038,Land,Rover,2017,3,40890,11880,Hoffman Estates,IL,Midwest,51567,42.0639,-88.1468
1FADP3F20GL224570,Ford,FocusSedan,2016,4,13985,39065,Burton,OH,Midwest,1454,41.4708,-81.1456
1FADP3F22FL355501,Ford,FocusSedan,2015,5,10989,25992,Amherst,OH,Midwest,12088,41.4022,-82.2303
JTHBK1EG2B2417236,Lexus,ES,2011,9,13895,115801,Gastonia,NC,South,180974,35.2494,-81.1853
1C4RJFBG8GC304784,Jeep,Grand,2016,4,32526,16900,Indianapolis,IN,Midwest,1564699,39.7771,-86.1458
3GCUKSEC8EG119685,Chevrolet,Silverado,2014,6,37995,73190,Fairborn,OH,Midwest,33541,39.801,-84.0094
1HGCT2B87FA001234,Honda,Accord,2015,5,21923,34975,Jacksonville,FL,South,1156291,30.3322,-81.6749
JTHBK1GG0E2150454,Lexus,ES,2014,6,23290,27857,Kennesaw,GA,South,34344,34.0262,-84.6177
5YFBURHE8EP172212,Toyota,CorollaLE,2014,6,14491,43328,Jasper,AL,South,13432,33.8514,-87.2719
5TFGY5F15EX159079,Toyota,Tundra,2014,6,33995,66205,Pleasanton,TX,South,14638,28.9643,-98.4957
1G1BE5SM2H7116402,Chevrolet,CruzeSedan,2017,3,20200,4043,Indianapolis,IN,Midwest,1564699,39.7771,-86.1458
2G1FA1E30F9183584,Chevrolet,CamaroCoupe,2015,5,17499,66270,Portsmouth,NH,Northeast,92513,43.058,-70.7826
1FADP3F29EL140311,Ford,FocusSedan,2014,6,9988,54748,Frankfort,KY,South,38664,38.1924,-84.8643
1GCRKREA2BZ262396,Chevrolet,Silverado,2011,9,9995,162127,Springdale,AR,South,79599,36.1898,-94.1573
1D7HA18N98S518779,Dodge,Ram,2008,12,10469,113699,New Castle,DE,South,5348,39.6685,-75.5692
