make,model,model_year,model_age,drive,barrels08,city_mpg,hwy_mpg,combined_mpg,co2TailpipeGpm,cylinders,engine_displ,drive_type,fuelCost08,fuelType1
Hyundai,Tiburon,2008,10,Front-Wheel Drive,17.347894737,16,24,19,467.73684211,6,2.7,Front-Wheel Drive,2050,Regular Gasoline
Infiniti,G37 Coupe,2008,10,Rear-Wheel Drive,16.4805,17,26,20,444.35,6,3.7,Rear-Wheel Drive,2350,Premium Gasoline
Infiniti,G37 Coupe,2008,10,Rear-Wheel Drive,16.4805,18,24,20,444.35,6,3.7,Rear-Wheel Drive,2350,Premium Gasoline
Lexus,IS 250,2008,10,Rear-Wheel Drive,15.695714286,18,26,21,423.19047619,6,2.5,Rear-Wheel Drive,2200,Premium Gasoline
Lexus,IS 250,2008,10,Rear-Wheel Drive,13.73375,21,29,24,370.29166667,6,2.5,Rear-Wheel Drive,1950,Premium Gasoline
Lexus,IS 250 AWD,2008,10,4-Wheel or All-Wheel Drive,14.982272727,20,26,22,403.95454545,6,2.5,4-Wheel or All-Wheel Drive,2100,Premium Gasoline
Lexus,IS 350,2008,10,Rear-Wheel Drive,16.4805,18,25,20,444.35,6,3.5,Rear-Wheel Drive,2350,Premium Gasoline
Maserati,GranTurismo,2008,10,Rear-Wheel Drive,21.974,13,19,15,592.46666667,8,4.2,Rear-Wheel Drive,3100,Premium Gasoline
Mercedes-B,C300,2008,10,Rear-Wheel Drive,15.695714286,18,25,21,423.19047619,6,3,Rear-Wheel Drive,2200,Premium Gasoline
Lamborghin,Murcielago Reventon,2008,10,4-Wheel or All-Wheel Drive,29.964545455,9,14,11,807.90909091,12,6.5,4-Wheel or All-Wheel Drive,4250,Premium Gasoline
Mercedes-B,SLR,2008,10,Rear-Wheel Drive,25.354615385,12,16,13,683.61538462,8,5.4,Rear-Wheel Drive,3600,Premium Gasoline
Porsche,911 GT2,2008,10,Rear-Wheel Drive,17.347894737,16,23,19,467.73684211,6,3.6,Rear-Wheel Drive,2450,Premium Gasoline
Shelby,Mustang GT,2008,10,Rear-Wheel Drive,19.388823529,15,22,17,522.76470588,8,4.6,Rear-Wheel Drive,2750,Premium Gasoline
Roush Perf,Stage 3 Mustang,2008,10,Rear-Wheel Drive,20.600625,14,20,16,555.4375,8,4.6,Rear-Wheel Drive,2900,Premium Gasoline
Saab,9-3 Convertible,2008,10,Front-Wheel Drive,16.4805,18,24,20,444.35,4,2,Front-Wheel Drive,2350,Premium Gasoline
Saleen Per,S281 Family,2008,10,Rear-Wheel Drive,23.543571429,12,18,14,634.78571429,8,5,Rear-Wheel Drive,3350,Premium Gasoline
Saleen Per,S281 Family,2008,10,Rear-Wheel Drive,23.543571429,12,18,14,634.78571429,8,5,Rear-Wheel Drive,3350,Premium Gasoline
Mercedes-B,C300 4matic,2008,10,4-Wheel or All-Wheel Drive,16.4805,17,25,20,444.35,6,3,4-Wheel or All-Wheel Drive,2350,Premium Gasoline
Saab,9-3 Sport Sedan,2008,10,Front-Wheel Drive,15.695714286,19,26,21,423.19047619,4,2,Front-Wheel Drive,2200,Premium Gasoline
Dodge,Challenger,2008,10,Rear-Wheel Drive,21.974,13,18,15,592.46666667,8,6.1,Rear-Wheel Drive,3100,Premium Gasoline
Chrysler,300/SRT-8,2008,10,Rear-Wheel Drive,21.974,13,18,15,592.46666667,8,6.1,Rear-Wheel Drive,3100,Premium Gasoline
Dodge,Charger,2008,10,Rear-Wheel Drive,21.974,13,18,15,592.46666667,8,6.1,Rear-Wheel Drive,3100,Premium Gasoline
Pontiac,G8,2008,10,Rear-Wheel Drive,18.311666667,15,24,18,493.72222222,8,6,Rear-Wheel Drive,2600,Premium Gasoline
Saab,9-3 SportCombi,2008,10,Front-Wheel Drive,16.4805,18,24,20,444.35,4,2,Front-Wheel Drive,2350,Premium Gasoline
Subaru,Impreza Wagon/Outba,2008,10,4-Wheel or All-Wheel Drive,17.347894737,17,23,19,467.73684211,4,2.5,4-Wheel or All-Wheel Drive,2450,Premium Gasoline
Saleen Per,F150 Supercharged,2008,10,Rear-Wheel Drive,25.354615385,11,15,13,683.61538462,8,5.4,Rear-Wheel Drive,3600,Premium Gasoline
Honda,Odyssey,2008,10,Front-Wheel Drive,18.311666667,16,23,18,493.72222222,6,3.5,Front-Wheel Drive,2150,Regular Gasoline
Honda,Odyssey,2008,10,Front-Wheel Drive,16.4805,17,25,20,444.35,6,3.5,Front-Wheel Drive,1950,Regular Gasoline
Mazda,5,2008,10,Front-Wheel Drive,13.73375,22,28,24,370.29166667,4,2.3,Front-Wheel Drive,1600,Regular Gasoline
Mazda,5,2008,10,Front-Wheel Drive,14.330869565,21,27,23,386.39130435,4,2.3,Front-Wheel Drive,1700,Regular Gasoline
Cadillac,Escalade ESV 2WD,2008,10,Rear-Wheel Drive,23.543571429,12,19,14,634.78571429,8,6.2,Rear-Wheel Drive,3350,Premium Gasoline
Chevrolet,Tahoe 1500 2WD,2008,10,Rear-Wheel Drive,23.543571429,12,19,14,634.78571429,8,6.2,Rear-Wheel Drive,3350,Premium Gasoline
Chevrolet,Tahoe Hybrid 2WD,2008,10,Rear-Wheel Drive,15.695714286,21,22,21,423.19047619,8,6,Rear-Wheel Drive,1850,Regular Gasoline
Chevrolet,HHR FWD,2008,10,Front-Wheel Drive,14.982272727,19,28,22,403.95454545,4,2,Front-Wheel Drive,1750,Regular Gasoline
Chevrolet,HHR FWD,2008,10,Front-Wheel Drive,13.73375,21,29,24,370.29166667,4,2,Front-Wheel Drive,1600,Regular Gasoline
Dodge,Magnum,2008,10,Rear-Wheel Drive,21.974,13,18,15,592.46666667,8,6.1,Rear-Wheel Drive,3100,Premium Gasoline
GMC,Yukon 1500 2WD,2008,10,Rear-Wheel Drive,23.543571429,12,19,14,634.78571429,8,6.2,Rear-Wheel Drive,3350,Premium Gasoline
GMC,Yukon 1500 Hybrid 2,2008,10,Rear-Wheel Drive,15.695714286,21,22,21,423.19047619,8,6,Rear-Wheel Drive,1850,Regular Gasoline
GMC,Yukon XL 1500 2WD,2008,10,Rear-Wheel Drive,23.543571429,12,19,14,634.78571429,8,6.2,Rear-Wheel Drive,3350,Premium Gasoline
Mitsubishi,Outlander 2WD,2008,10,Front-Wheel Drive,14.982272727,20,25,22,403.95454545,4,2.4,Front-Wheel Drive,1750,Regular Gasoline
Saturn,Vue Hybrid,2008,10,Front-Wheel Drive,11.771785714,25,32,28,317.39285714,4,2.4,Front-Wheel Drive,1400,Regular Gasoline
Chevrolet,Tahoe Hybrid 4WD,2008,10,4-Wheel or All-Wheel Drive,16.4805,20,20,20,444.35,8,6,4-Wheel or All-Wheel Drive,1950,Regular Gasoline
GMC,Yukon 1500 Hybrid 4,2008,10,4-Wheel or All-Wheel Drive,16.4805,20,20,20,444.35,8,6,4-Wheel or All-Wheel Drive,1950,Regular Gasoline
Mitsubishi,Outlander 4WD,2008,10,4-Wheel or All-Wheel Drive,14.982272727,20,25,22,403.95454545,4,2.4,4-Wheel or All-Wheel Drive,1750,Regular Gasoline
Porsche,Cayenne GTS,2008,10,4-Wheel or All-Wheel Drive,21.974,13,18,15,592.46666667,8,4.8,4-Wheel or All-Wheel Drive,3100,Premium Gasoline
Porsche,Cayenne GTS,2008,10,4-Wheel or All-Wheel Drive,25.354615385,11,17,13,683.61538462,8,4.8,4-Wheel or All-Wheel Drive,3600,Premium Gasoline
MINI,Cooper,2008,10,Front-Wheel Drive,10.3003125,28,37,32,277.71875,4,1.6,Front-Wheel Drive,1450,Premium Gasoline
MINI,Cooper,2008,10,Front-Wheel Drive,11.365862069,26,34,29,306.44827586,4,1.6,Front-Wheel Drive,1600,Premium Gasoline
MINI,Cooper S,2008,10,Front-Wheel Drive,11.365862069,26,34,29,306.44827586,4,1.6,Front-Wheel Drive,1600,Premium Gasoline
MINI,Cooper S,2008,10,Front-Wheel Drive,12.207777778,23,32,27,329.14814815,4,1.6,Front-Wheel Drive,1750,Premium Gasoline
Audi,A5 quattro,2008,10,4-Wheel or All-Wheel Drive,16.4805,16,27,20,444.35,6,3.2,4-Wheel or All-Wheel Drive,2350,Premium Gasoline
Audi,A5 quattro,2008,10,4-Wheel or All-Wheel Drive,15.695714286,18,27,21,423.19047619,6,3.2,4-Wheel or All-Wheel Drive,2200,Premium Gasoline
MINI,Clubman,2008,10,Front-Wheel Drive,10.3003125,28,37,32,277.71875,4,1.6,Front-Wheel Drive,1450,Premium Gasoline
MINI,Clubman,2008,10,Front-Wheel Drive,11.365862069,26,34,29,306.44827586,4,1.6,Front-Wheel Drive,1600,Premium Gasoline
